Número,Aberto,Resolvido,Encerrado,Prioridade,Categoria,Subcategoria,Produto,Item de configuração,Grupo designado,Aberto por,Entrou para KPI?,KPI Violado?,Código de fechamento,Solução,Duração
INC100027,2025-01-03 16:09:00,2025-01-03 18:33:28.916156994,2025-01-03 21:23:28.916156994,2 - Alta,Rede,Sub C,lsin,CI-31,Suporte N3,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,8668.916156991536
INC100028,2025-01-03 17:47:00,2025-01-03 18:20:24.521145582,2025-01-03 20:05:24.521145582,3 - Média,Banco de Dados,Sub B,lsin,CI-168,NOC N1,Monitoramento,SIM,NAO,Manutenção Programada,Reinício de serviço,2004.5211455797426
INC100029,2025-01-03 18:02:00,2025-01-03 18:06:26.658391260,2025-01-03 21:29:26.658391260,3 - Média,Aplicação,Sub C,lhco,CI-384,Suporte N3,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,266.65839126050525
INC100030,2025-01-03 22:55:00,2025-01-04 04:22:43.328474400,2025-01-04 05:10:43.328474400,4 - Baixa,Banco de Dados,Sub B,lrev,CI-296,NOC N2,Monitoramento,NAO,NAO,Falha de Rede,Reinício de serviço,19663.32847439842
INC100031,2025-01-04 00:46:00,2025-01-04 03:17:43.946127828,2025-01-04 04:28:43.946127828,2 - Alta,Aplicação,Sub C,lhco,CI-296,Suporte N3,Monitoramento,SIM,NAO,Erro de Configuração,Reinício de serviço,9103.946127830783
INC100032,2025-01-04 04:27:00,2025-01-04 04:59:12.568046100,2025-01-04 05:33:12.568046100,4 - Baixa,Banco de Dados,Sub B,lsin,CI-208,SRE,Manual,NAO,NAO,Falha de Aplicação,Ajuste de configuração,1932.5680461004126
INC100033,2025-01-04 06:02:00,2025-01-04 07:06:39.926890236,2025-01-04 08:06:39.926890236,3 - Média,Banco de Dados,Sub A,lhco,CI-275,Suporte N3,Monitoramento,SIM,NAO,Falha de Aplicação,Reinício de serviço,3879.9268902365125
INC100034,2025-01-04 09:28:00,2025-01-04 11:11:54.384372300,2025-01-04 14:20:54.384372300,4 - Baixa,Infraestrutura,Sub C,lsin,CI-25,Suporte N3,Monitoramento,NAO,NAO,Falha de Rede,Ajuste de configuração,6234.384372302847
INC100035,2025-01-04 09:49:00,2025-01-04 11:15:57.081449718,2025-01-04 14:20:57.081449718,3 - Média,Infraestrutura,Sub C,lsin,CI-398,NOC N1,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,5217.081449719797
INC100036,2025-01-04 10:05:00,2025-01-04 14:30:59.595608724,2025-01-04 14:50:59.595608724,2 - Alta,Banco de Dados,Sub A,lhco,CI-200,NOC N2,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,15959.595608722364
INC100037,2025-01-04 15:02:00,2025-01-04 16:24:00.508597746,2025-01-04 17:25:00.508597746,3 - Média,Banco de Dados,Sub A,lsin,CI-183,SRE,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,4920.50859774575
INC100038,2025-01-04 15:21:00,2025-01-04 15:35:20.296480530,2025-01-04 18:11:20.296480530,2 - Alta,Rede,Sub C,lhco,CI-24,NOC N2,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,860.2964805324365
INC100039,2025-01-04 19:47:00,2025-01-04 21:54:51.252043614,2025-01-05 01:22:51.252043614,4 - Baixa,Aplicação,Sub A,lsin,CI-338,SRE,Monitoramento,NAO,NAO,Erro de Configuração,Ajuste de configuração,7671.252043615124
INC100040,2025-01-04 21:14:00,2025-01-04 21:52:24.079372686,2025-01-04 23:58:24.079372686,3 - Média,Banco de Dados,Sub C,lhco,CI-124,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Ajuste de configuração,2304.079372686899
INC100041,2025-01-04 23:00:00,2025-01-04 23:36:51.349009518,2025-01-05 02:35:51.349009518,3 - Média,Rede,Sub B,lcem,CI-23,NOC N2,Monitoramento,SIM,NAO,Falha de Aplicação,Reinício de serviço,2211.349009519348
INC100042,2025-01-05 00:40:00,2025-01-05 01:19:29.609205582,2025-01-05 01:50:29.609205582,3 - Média,Banco de Dados,Sub C,lsin,CI-61,NOC N1,Manual,SIM,NAO,Manutenção Programada,Reinício de serviço,2369.609205584814
INC100043,2025-01-05 02:29:00,2025-01-05 04:54:03.500301330,2025-01-05 08:28:03.500301330,4 - Baixa,Infraestrutura,Sub A,lhvp,CI-342,Suporte N3,Monitoramento,NAO,NAO,Manutenção Programada,Reinício de serviço,8703.500301327407
INC100044,2025-01-05 03:34:00,2025-01-05 05:55:48.839733618,2025-01-05 06:48:48.839733618,3 - Média,Infraestrutura,Sub C,lrev,CI-372,NOC N2,Monitoramento,SIM,SIM,Erro de Configuração,Reinício de serviço,8508.839733620589
INC100045,2025-01-05 05:41:00,2025-01-05 06:17:30.768211254,2025-01-05 08:50:30.768211254,2 - Alta,Aplicação,Sub A,lcem,CI-198,NOC N1,Manual,SIM,NAO,Falha de Rede,Reinício de serviço,2190.7682112550447
INC100046,2025-01-05 07:49:00,2025-01-05 08:29:11.628555780,2025-01-05 10:00:11.628555780,4 - Baixa,Rede,Sub B,lsin,CI-386,NOC N1,Monitoramento,NAO,NAO,Manutenção Programada,Ajuste de configuração,2411.6285557813335
INC100047,2025-01-05 11:03:00,2025-01-05 12:57:55.251371820,2025-01-05 15:07:55.251371820,4 - Baixa,Infraestrutura,Sub C,lcem,CI-26,Suporte N3,Monitoramento,NAO,NAO,Manutenção Programada,Reinício de serviço,6895.251371818309
INC100048,2025-01-05 13:15:00,2025-01-05 14:43:35.904605238,2025-01-05 15:05:35.904605238,3 - Média,Aplicação,Sub B,lhvp,CI-54,Suporte N3,Monitoramento,SIM,NAO,Manutenção Programada,Reinício de serviço,5315.9046052373205
INC100049,2025-01-05 14:45:00,2025-01-05 15:25:31.309141404,2025-01-05 17:52:31.309141404,3 - Média,Banco de Dados,Sub A,lhco,CI-285,NOC N2,Monitoramento,SIM,NAO,Erro de Configuração,Ajuste de configuração,2431.3091414043297
INC100050,2025-01-05 18:45:00,2025-01-05 18:53:05.178561042,2025-01-05 22:46:05.178561042,4 - Baixa,Banco de Dados,Sub C,lcem,CI-80,Suporte N3,Manual,NAO,NAO,Falha de Rede,Reinício de serviço,485.17856104202446
INC100051,2025-01-05 20:43:00,2025-01-05 20:49:18.040568550,2025-01-06 00:01:18.040568550,3 - Média,Aplicação,Sub B,lhco,CI-301,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,378.04056855067444
INC100052,2025-01-05 22:42:00,2025-01-06 00:07:53.835362886,2025-01-06 04:04:53.835362886,2 - Alta,Rede,Sub A,lhco,CI-216,NOC N2,Monitoramento,SIM,NAO,Falha de Aplicação,Reinício de serviço,5153.835362886596
INC100053,2025-01-05 23:13:00,2025-01-06 00:29:16.176342347,2025-01-06 02:25:16.176342347,4 - Baixa,Rede,Sub A,lhco,CI-185,SRE,Monitoramento,NAO,NAO,Falha de Rede,Ajuste de configuração,4576.17634234767
INC100054,2025-01-06 06:14:00,2025-01-06 07:17:14.765852424,2025-01-06 09:17:14.765852424,3 - Média,Aplicação,Sub C,lsin,CI-144,SRE,Monitoramento,SIM,NAO,Erro de Configuração,Reinício de serviço,3794.7658524227704
INC100055,2025-01-06 06:36:00,2025-01-06 06:42:17.481037164,2025-01-06 06:45:17.481037164,2 - Alta,Rede,Sub A,lhco,CI-37,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,377.4810371624749
INC100056,2025-01-06 08:21:00,2025-01-06 10:35:43.272398052,2025-01-06 11:32:43.272398052,3 - Média,Rede,Sub B,lsin,CI-253,NOC N2,Monitoramento,SIM,NAO,Falha de Rede,Patch aplicado,8083.272398052778
INC100057,2025-01-06 08:52:00,2025-01-06 10:06:29.576791500,2025-01-06 12:16:29.576791500,2 - Alta,Rede,Sub B,lcem,CI-389,NOC N1,Monitoramento,SIM,NAO,Falha de Rede,Patch aplicado,4469.576791502916
INC100058,2025-01-06 09:29:00,2025-01-06 10:38:53.966942310,2025-01-06 13:05:53.966942310,3 - Média,Infraestrutura,Sub A,lhco,CI-186,NOC N2,Monitoramento,SIM,NAO,Falha de Rede,Patch aplicado,4193.966942308231
INC100059,2025-01-06 20:12:00,2025-01-06 21:52:38.301670326,2025-01-07 01:14:38.301670326,3 - Média,Infraestrutura,Sub A,lhvp,CI-67,NOC N1,Monitoramento,SIM,NAO,Erro de Configuração,Ajuste de configuração,6038.301670327357
INC100060,2025-01-06 20:22:00,2025-01-06 21:59:04.933537128,2025-01-07 01:04:04.933537128,3 - Média,Banco de Dados,Sub B,lsin,CI-378,Suporte N3,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,5824.933537130899
INC100061,2025-01-07 04:27:00,2025-01-07 05:12:43.119005004,2025-01-07 08:34:43.119005004,3 - Média,Banco de Dados,Sub A,lrev,CI-50,SRE,Monitoramento,SIM,NAO,Erro de Configuração,Reinício de serviço,2743.1190050027626
INC100062,2025-01-07 05:45:00,2025-01-07 08:59:18.258375996,2025-01-07 09:55:18.258375996,2 - Alta,Infraestrutura,Sub B,lrev,CI-113,NOC N2,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,11658.258375994512
INC100063,2025-01-07 08:47:00,2025-01-07 11:17:26.710006308,2025-01-07 14:54:26.710006308,4 - Baixa,Rede,Sub A,lcem,CI-53,SRE,Monitoramento,NAO,NAO,Falha de Aplicação,Reinício de serviço,9026.710006309288
INC100064,2025-01-07 10:24:00,2025-01-07 11:27:13.890467382,2025-01-07 13:14:13.890467382,3 - Média,Infraestrutura,Sub A,lcem,CI-362,NOC N2,Monitoramento,SIM,NAO,Manutenção Programada,Reinício de serviço,3793.890467381387
INC100065,2025-01-07 14:04:00,2025-01-07 16:00:28.837563114,2025-01-07 16:19:28.837563114,3 - Média,Banco de Dados,Sub B,lhco,CI-386,NOC N2,Manual,SIM,NAO,Erro de Configuração,Ajuste de configuração,6988.837563114529
INC100066,2025-01-07 17:57:00,2025-01-07 18:41:56.435419152,2025-01-07 18:44:56.435419152,2 - Alta,Aplicação,Sub A,lsin,CI-150,Suporte N3,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,2696.435419152984
INC100067,2025-01-07 21:09:00,2025-01-07 22:32:27.562010892,2025-01-08 02:11:27.562010892,3 - Média,Rede,Sub B,lhco,CI-363,NOC N1,Monitoramento,SIM,NAO,Manutenção Programada,Reinício de serviço,5007.562010894366
INC100068,2025-01-07 22:36:00,2025-01-08 01:56:05.310523632,2025-01-08 05:14:05.310523632,2 - Alta,Infraestrutura,Sub B,lsin,CI-159,NOC N2,Monitoramento,SIM,NAO,Falha de Aplicação,Ajuste de configuração,12005.310523633954
INC100069,2025-01-07 22:40:00,2025-01-07 23:18:26.515687788,2025-01-08 00:31:26.515687788,3 - Média,Infraestrutura,Sub C,lsin,CI-292,NOC N2,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,2306.5156877888344
INC100070,2025-01-07 23:27:00,2025-01-08 01:19:12.978810354,2025-01-08 02:16:12.978810354,3 - Média,Aplicação,Sub A,lhco,CI-382,NOC N1,Monitoramento,SIM,NAO,Erro de Configuração,Ajuste de configuração,6732.978810353033
INC100071,2025-01-08 00:41:00,2025-01-08 01:44:31.503276642,2025-01-08 01:58:31.503276642,2 - Alta,Banco de Dados,Sub C,lcem,CI-394,NOC N1,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,3811.50327664194
INC100072,2025-01-08 08:25:00,2025-01-08 11:30:00.928492674,2025-01-08 13:22:00.928492674,4 - Baixa,Rede,Sub C,lsin,CI-254,NOC N1,Monitoramento,NAO,NAO,Falha de Rede,Ajuste de configuração,11100.928492677
INC100073,2025-01-08 10:05:00,2025-01-08 12:31:29.702571942,2025-01-08 14:30:29.702571942,3 - Média,Aplicação,Sub A,lsin,CI-36,SRE,Monitoramento,SIM,NAO,Manutenção Programada,Ajuste de configuração,8789.70257194376
INC100074,2025-01-08 11:02:00,2025-01-08 12:04:43.466014986,2025-01-08 15:58:43.466014986,2 - Alta,Aplicação,Sub A,lsin,CI-28,SRE,Monitoramento,SIM,NAO,Falha de Aplicação,Reinício de serviço,3763.4660149886668
INC100075,2025-01-08 13:22:00,2025-01-08 15:53:07.150237020,2025-01-08 19:30:07.150237020,2 - Alta,Rede,Sub B,lsin,CI-213,Suporte N3,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,9067.15023702115
INC100076,2025-01-08 13:58:00,2025-01-08 14:45:54.261943266,2025-01-08 15:40:54.261943266,4 - Baixa,Aplicação,Sub C,lhco,CI-279,NOC N2,Manual,NAO,NAO,Erro de Configuração,Patch aplicado,2874.2619432639312
INC100077,2025-01-08 15:33:00,2025-01-08 17:07:33.895138260,2025-01-08 18:04:33.895138260,2 - Alta,Infraestrutura,Sub A,lsin,CI-291,NOC N2,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,5673.895138260575
INC100078,2025-01-08 15:45:00,2025-01-08 15:55:12.909874842,2025-01-08 19:18:12.909874842,4 - Baixa,Aplicação,Sub A,lhco,CI-107,NOC N2,Manual,NAO,NAO,Falha de Rede,Patch aplicado,612.9098748445806
INC100079,2025-01-08 16:59:00,2025-01-08 18:21:40.674362124,2025-01-08 19:57:40.674362124,4 - Baixa,Infraestrutura,Sub A,lsin,CI-196,NOC N1,Monitoramento,NAO,NAO,Falha de Aplicação,Ajuste de configuração,4960.674362123973
INC100080,2025-01-08 17:31:00,2025-01-08 18:59:54.559788558,2025-01-08 22:27:54.559788558,2 - Alta,Aplicação,Sub A,lhco,CI-101,NOC N1,Monitoramento,SIM,NAO,Falha de Rede,Ajuste de configuração,5334.559788558212
INC100081,2025-01-08 21:58:00,2025-01-08 22:20:44.684122842,2025-01-09 00:21:44.684122842,3 - Média,Rede,Sub A,lhvp,CI-51,NOC N1,Manual,SIM,NAO,Erro de Configuração,Ajuste de configuração,1364.6841228423527
INC100082,2025-01-09 03:50:00,2025-01-09 04:52:26.148203520,2025-01-09 06:03:26.148203520,2 - Alta,Infraestrutura,Sub A,lsin,CI-124,Suporte N3,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,3746.1482035202894
INC100083,2025-01-09 04:38:00,2025-01-09 05:27:08.572213644,2025-01-09 06:05:08.572213644,3 - Média,Aplicação,Sub C,lsin,CI-60,Suporte N3,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,2948.5722136429886
INC100084,2025-01-09 05:32:00,2025-01-09 05:58:55.707297942,2025-01-09 09:47:55.707297942,2 - Alta,Aplicação,Sub C,lsin,CI-275,NOC N2,Monitoramento,SIM,NAO,Falha de Aplicação,Ajuste de configuração,1615.7072979440316
INC100085,2025-01-09 06:49:00,2025-01-09 06:54:47.124257592,2025-01-09 07:55:47.124257592,2 - Alta,Aplicação,Sub B,lcem,CI-225,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Reinício de serviço,347.12425759037893
INC100086,2025-01-09 09:07:00,2025-01-09 09:42:10.538681622,2025-01-09 12:37:10.538681622,2 - Alta,Infraestrutura,Sub C,lhco,CI-216,Suporte N3,Manual,SIM,NAO,Falha de Rede,Ajuste de configuração,2110.538681621246
INC100087,2025-01-09 10:17:00,2025-01-09 10:42:55.436072580,2025-01-09 13:05:55.436072580,4 - Baixa,Aplicação,Sub C,lhvp,CI-236,Suporte N3,Monitoramento,NAO,NAO,Erro de Configuração,Reinício de serviço,1555.4360725825434
INC100088,2025-01-09 15:20:00,2025-01-09 17:16:39.886202454,2025-01-09 20:58:39.886202454,3 - Média,Infraestrutura,Sub C,lsin,CI-192,Suporte N3,Manual,SIM,SIM,Falha de Aplicação,Patch aplicado,6999.886202452965
INC100089,2025-01-09 18:35:00,2025-01-09 20:00:41.432998644,2025-01-09 21:00:41.432998644,3 - Média,Infraestrutura,Sub C,lhco,CI-152,NOC N1,Monitoramento,SIM,NAO,Manutenção Programada,Reinício de serviço,5141.43299864504
INC100090,2025-01-09 19:38:00,2025-01-09 21:13:43.866638184,2025-01-09 23:55:43.866638184,3 - Média,Aplicação,Sub B,lhco,CI-275,Suporte N3,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,5743.866638185784
INC100091,2025-01-09 20:03:00,2025-01-09 20:48:38.104441122,2025-01-09 23:59:38.104441122,2 - Alta,Aplicação,Sub A,lrev,CI-96,SRE,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,2738.1044411199177
INC100092,2025-01-09 22:15:00,2025-01-09 23:25:49.327198068,2025-01-10 01:27:49.327198068,4 - Baixa,Rede,Sub C,lhco,CI-149,NOC N2,Monitoramento,NAO,NAO,Manutenção Programada,Ajuste de configuração,4249.327198065079
INC100093,2025-01-09 23:14:00,2025-01-10 02:04:17.692422510,2025-01-10 02:13:17.692422510,3 - Média,Banco de Dados,Sub B,lsin,CI-316,NOC N2,Monitoramento,SIM,NAO,Manutenção Programada,Ajuste de configuração,10217.692422508359
INC100094,2025-01-10 06:14:00,2025-01-10 06:22:04.992173496,2025-01-10 09:37:04.992173496,4 - Baixa,Infraestrutura,Sub C,lsin,CI-298,NOC N2,Monitoramento,NAO,NAO,Falha de Aplicação,Ajuste de configuração,484.9921734975601
INC100095,2025-01-10 07:17:00,2025-01-10 09:06:11.089005012,2025-01-10 12:42:11.089005012,4 - Baixa,Infraestrutura,Sub C,lhvp,CI-383,NOC N1,Monitoramento,NAO,NAO,Falha de Rede,Ajuste de configuração,6551.089005009956
INC100096,2025-01-10 07:51:00,2025-01-10 09:07:17.034258065,2025-01-10 11:57:17.034258065,4 - Baixa,Rede,Sub B,lrev,CI-308,SRE,Monitoramento,NAO,NAO,Falha de Rede,Patch aplicado,4577.034258063026
INC100097,2025-01-10 15:33:00,2025-01-10 16:16:39.768945150,2025-01-10 17:52:39.768945150,2 - Alta,Infraestrutura,Sub B,lhco,CI-336,SRE,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,2619.768945152313
INC100098,2025-01-10 17:21:00,2025-01-10 18:48:06.634842216,2025-01-10 21:46:06.634842216,3 - Média,Aplicação,Sub C,lsin,CI-394,SRE,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,5226.634842214797
INC100099,2025-01-10 20:23:00,2025-01-10 22:25:33.245200266,2025-01-10 22:48:33.245200266,3 - Média,Infraestrutura,Sub A,lsin,CI-12,SRE,Manual,SIM,NAO,Falha de Aplicação,Ajuste de configuração,7353.245200263533
INC100100,2025-01-10 22:24:00,2025-01-10 23:40:46.270988484,2025-01-11 01:26:46.270988484,4 - Baixa,Rede,Sub C,lcem,CI-273,NOC N2,Monitoramento,NAO,NAO,Falha de Aplicação,Patch aplicado,4606.270988484509
INC100101,2025-01-11 04:17:00,2025-01-11 05:10:51.319213062,2025-01-11 07:21:51.319213062,2 - Alta,Rede,Sub B,lsin,CI-385,Suporte N3,Monitoramento,SIM,NAO,Manutenção Programada,Ajuste de configuração,3231.319213061094
INC100102,2025-01-11 04:20:00,2025-01-11 05:36:18.648808998,2025-01-11 07:12:18.648808998,3 - Média,Rede,Sub A,lrev,CI-65,SRE,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,4578.648809000206
INC100103,2025-01-11 07:03:00,2025-01-11 10:05:27.891816102,2025-01-11 11:58:27.891816102,2 - Alta,Banco de Dados,Sub C,lsin,CI-364,SRE,Monitoramento,SIM,NAO,Erro de Configuração,Ajuste de configuração,10947.891816102898
INC100104,2025-01-11 08:09:00,2025-01-11 09:16:06.219822264,2025-01-11 10:03:06.219822264,2 - Alta,Banco de Dados,Sub C,lsin,CI-341,NOC N1,Monitoramento,SIM,NAO,Falha de Rede,Ajuste de configuração,4026.2198222644643
INC100105,2025-01-11 08:33:00,2025-01-11 08:54:15.904953498,2025-01-11 10:48:15.904953498,2 - Alta,Infraestrutura,Sub A,lsin,CI-153,SRE,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,1275.9049534990718
INC100106,2025-01-11 08:40:00,2025-01-11 09:38:19.777926558,2025-01-11 11:00:19.777926558,3 - Média,Rede,Sub A,lhvp,CI-68,SRE,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,3499.7779265592744
INC100107,2025-01-11 13:06:00,2025-01-11 13:36:54.066669828,2025-01-11 15:19:54.066669828,2 - Alta,Banco de Dados,Sub A,lhco,CI-249,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,1854.0666698303824
INC100108,2025-01-11 16:42:00,2025-01-11 17:03:20.675159214,2025-01-11 19:14:20.675159214,2 - Alta,Banco de Dados,Sub B,lhco,CI-355,NOC N1,Manual,SIM,NAO,Manutenção Programada,Patch aplicado,1280.6751592138535
